Rat,Day,Shank,Id,Region,Type,SessID,NREM,REM,WAKE_HOMECAGE,SLEEP,tot_spikes,pInc,pDec,surprise,delta_NREM,delta_REM,delta_WAKE_HOMECAGE
8,3,10,5,DEn,Pyr,92,0.6522558358630797,0.7452702702702703,0.5006440745144669,0.6647330735067525,18099,7.76437621918813e-06,0.9999932496902579,11.765957686594014,-0.58424324,0.32633796,-0.12417881
8,3,10,6,DEn,Int,93,0.18371192295613945,0.3195945945945946,0.1418202536662703,0.20193963563853892,3751,0.0,1.0,36.04365338911715,0.2837304,0.50949097,1.2212784
8,3,10,7,DEn,Pyr,94,0.45095781429917303,0.47094594594594597,0.3401208878319461,0.45363908275174475,12301,0.13048530968468497,0.8774330153531142,1.905739965686054,-0.26795405,-0.0124274045,-0.08345653
8,3,11,2,DEn,Pyr,95,0.693708782581388,0.831081081081081,0.5899474831549743,0.7121363183177739,16834,4.0826730884901963e-10,0.9999999996608114,21.61909844309645,-0.0037474632,0.21713132,0.065827414
8,3,11,3,DEn,Pyr,96,0.45336543494190307,0.720945945945946,0.42248810939357906,0.48925949424453913,11306,0.0,1.0,36.04365338911715,0.3150035,-0.44838038,0.30294195
8,3,11,4,DEn,Pyr,97,0.5290484664503298,0.5702702702702702,0.5259116131589378,0.5345780839300281,14791,0.01612522875521427,0.9852277213090115,4.112487754647099,-0.711833,-0.39322913,-0.009806644
8,3,11,5,DEn,Pyr,98,0.3547576677483513,0.8554054054054054,0.2464823622671423,0.42191606997190245,8593,0.0,1.0,36.04365338911715,0.113352604,-0.16730653,0.41211605
8,3,11,6,DEn,Pyr,99,0.6035800272165812,0.6959459459459459,0.4720323028141102,0.6159702710051663,14013,4.224434653421483e-06,0.9999963607876864,12.374621476678044,0.23203234,0.3744681,-0.28593385
8,3,11,7,DEn,Pyr,100,0.18873652255835863,0.597972972972973,0.19966309948474037,0.2436327381491888,5881,0.0,1.0,36.04365338911715,-0.10236615,0.44391924,0.036735587
8,3,11,8,DEn,Pyr,101,0.14445723856380194,0.22837837837837838,0.08372968688069758,0.15571467415934015,2962,2.9976021664879227e-15,0.9999999999999981,33.369504739690626,-0.054245826,-0.07272398,0.3518898
