Rat,Day,Shank,Id,Region,Type,SessID,pInc,pDec,surprise
8,2,5,3,CeCM,Pyr,35,0.1346126797904979,0.8819087493796954,1.8796869756321
8,2,5,4,CeCM,Pyr,36,0.0,1.0,36.04365338911715
8,2,5,5,CeCM,Pyr,37,0.0,1.0,36.04365338911715
8,2,5,6,CeCM,Pyr,38,0.9999410880961992,6.680529470922352e-05,-9.613669304806129
8,2,5,7,CeCM,Pyr,39,0.3027028803332789,0.7208114066702066,0.8676257997289877
8,2,5,8,CeCM,Pyr,40,0.0,1.0,36.04365338911715
8,2,5,9,CeCM,Pyr,41,0.0,1.0,36.04365338911715
8,2,5,10,CeCM,Int,42,0.355598702363004,0.6460827902546814,0.5971247993748264
8,2,5,11,CeCM,Pyr,43,1.0,0.0,-36.04365338911715
8,2,5,12,CeCM,Pyr,44,1.6708003058862886e-06,0.9999985407054608,13.302206361817166
8,2,5,13,CeCM,Pyr,45,1.0,0.0,-36.04365338911715
8,2,5,14,CeCM,Pyr,46,0.0,1.0,36.04365338911715
8,2,6,2,BLA,Pyr,47,1.0,1.870476115684037e-83,-36.04365338911715
8,2,6,3,BLA,Pyr,48,0.0,1.0,36.04365338911715
8,2,6,4,BLA,Pyr,49,1.0,2.6677254047132194e-100,-36.04365338911715
8,2,6,5,BLA,Pyr,50,0.0,1.0,36.04365338911715
8,2,6,6,BLA,Pyr,51,0.1942215199045545,0.8148325177070992,1.4339832295563468
8,2,6,7,BLA,Pyr,52,1.0,2.400290784512005e-154,-36.04365338911715
8,2,6,8,BLA,Int,53,0.0097580709947925,0.9905429182929116,4.620158458212408
8,2,6,9,BLA,Int,54,0.0,1.0,36.04365338911715
8,2,6,10,BLA,Int,55,0.0,1.0,36.04365338911715
8,2,6,11,BLA,Pyr,56,0.0,1.0,36.04365338911715
8,2,7,2,BLA,Pyr,57,0.0,1.0,36.04365338911715
8,2,7,3,BLA,Pyr,58,0.0,1.0,36.04365338911715
8,2,7,4,BLA,Pyr,59,0.0,1.0,36.04365338911715
8,2,7,5,BLA,Pyr,60,0.0,1.0,36.04365338911715
8,2,7,6,BLA,Pyr,61,0.0,1.0,36.04365338911715
8,2,7,7,BLA,Pyr,62,0.9993545858602718,0.0008195241018502,-7.106141127269996
8,2,7,8,BLA,Pyr,63,0.0,1.0,36.04365338911715
8,2,7,9,BLA,Pyr,64,0.0,1.0,36.04365338911715
8,2,7,10,BLA,Pyr,65,5.06150676926609e-13,0.9999999999996804,28.311503392965083
8,2,7,11,BLA,Pyr,66,0.0,1.0,36.04365338911715
8,2,7,12,BLA,Pyr,67,0.0,1.0,36.04365338911715
8,2,7,13,BLA,Pyr,68,0.0,1.0,36.04365338911715
8,2,7,14,BLA,Pyr,69,0.0,1.0,36.04365338911715
8,2,7,15,BLA,Pyr,70,0.0,1.0,36.04365338911715
8,2,7,16,BLA,Pyr,71,2.8140075158944452e-08,0.9999999801967744,17.38607108667627
8,2,7,17,BLA,Pyr,72,0.0,1.0,36.04365338911715
8,2,7,18,BLA,Pyr,73,1.0,2.590372005146768e-25,-36.04365338795056
8,2,7,19,BLA,Pyr,74,0.0,1.0,36.04365338911715
8,2,7,20,BLA,Pyr,75,0.0,1.0,36.04365338911715
8,2,7,21,BLA,Pyr,76,0.0,1.0,36.04365338911715
8,2,7,22,BLA,Int,77,0.0,1.0,36.04365338911715
8,2,7,23,BLA,Pyr,78,0.0,1.0,36.04365338911715
8,2,7,24,BLA,Pyr,79,0.0,1.0,36.04365338911715
8,2,7,25,BLA,Pyr,80,9.129141886887736e-12,0.9999999999932636,25.419525091705424
8,2,7,26,BLA,Pyr,81,0.0,1.0,36.04365338911715
8,2,7,27,BLA,Pyr,82,0.0,1.0,36.04365338911715
8,2,7,28,BLA,Int,83,0.0,1.0,36.04365338911715
8,2,8,2,BLA,Pyr,84,0.0,1.0,36.04365338911715
8,2,8,3,BLA,Pyr,85,0.0,1.0,36.04365338911715
8,2,8,4,BLA,Pyr,86,0.0,1.0,36.04365338911715
8,2,8,5,BLA,Pyr,87,0.0,1.0,36.04365338911715
8,2,8,6,BLA,Pyr,88,0.0,1.0,36.04365338911715
8,2,8,7,BLA,Pyr,89,0.0,1.0,36.04365338911715
8,2,8,8,BLA,Pyr,90,0.0,1.0,36.04365338911715
8,2,8,9,BLA,Int,91,0.0,1.0,36.04365338911715
8,2,8,10,BLA,Int,92,0.0,1.0,36.04365338911715
8,2,8,11,BLA,Pyr,93,0.0,1.0,36.04365338911715
8,2,9,2,LaDL,Pyr,94,0.0,1.0,36.04365338911715
8,2,9,3,LaDL,Pyr,95,1.0,3.551104639445933e-61,-36.04365338911715
8,2,9,4,LaDL,Pyr,96,0.0,1.0,36.04365338911715
8,2,9,5,LaDL,Pyr,97,0.0032118005429627,0.9974068046600284,5.73832701878922
8,2,9,6,LaDL,Pyr,98,0.9999999925554882,8.835776153275148e-09,-18.54445685262557
8,2,9,7,LaDL,Pyr,99,1.0,5.531242850253368e-57,-36.04365338911715
8,2,9,8,LaDL,Pyr,100,0.988774741138016,0.0138469203866544,-4.268403688256863
8,2,9,9,LaDL,Pyr,101,0.0,1.0,36.04365338911715
8,2,9,10,LaDL,Pyr,102,0.0,1.0,36.04365338911715
8,2,9,11,LaDL,Pyr,103,0.0,1.0,36.04365338911715
